Rank	Player	Country	Birthdate
614	Daniel Siniakov	CZE	2003-01-15
615	Jakub Nicod	CZE	2004-07-21
616	Yassine Dlimi	MAR	2003-05-05
617	Egor Agafonov	RUS	2002-09-05
618	Karlis Ozolins	LAT	2002-06-15
619	Nikolay Vylegzhanin	RUS	2000-04-18
620	S D Prajwal Dev	IND	1996-05-27
621	Kuan Yi Lee	TPE	1996-09-09
622	Nino Ehrenschneider	GER	2001-03-31
623	Adrian Oetzbach	GER	1997-10-29
624	Colin Sinclair	NMI	1994-12-19
625	Aziz Ouakaa	TUN	1999-08-07
626	Mate Valkusz	HUN	1998-08-13
627	Cesar Bouchelaghem	FRA	2004-06-28
628	Tadeas Paroulek	CZE	1999-12-30
629	Maxence Beauge	FRA	2000-06-08
630	Emilien Demanet	BEL	2005-04-25
631	Giuseppe La Vela	ITA	2000-10-16
632	Kenta Miyoshi	JPN	2004-03-16
633	Andres Santamarta Roig	ESP	2007-01-23
634	Lorenzo Sciahbasi	ITA	2005-11-04
635	Luca Staeheli	SUI	2000-03-08
636	Yan Bai	CHN	1989-05-21
637	Tiago Torres	POR	2002-07-08
638	Woobin Shin	KOR	2004-01-20
639	Maximilian Neuchrist	AUT	1991-07-22
640	Michael Bassem Sobhy	EGY	2004-05-07
641	Yurii Dzhavakian	UKR	1993-05-07
642	Andrew Paulson	CZE	2001-11-16
643	Yusuke Kusuhara	JPN	1997-08-09
644	Mika Petkovic	GER	2006-12-29
645	Giovanni Oradini	ITA	1997-09-14
646	Johan Alexander Rodriguez Rodriguez	COL	2003-09-26
647	Karue Sell	BRA	1993-11-13
648	Yuta Kawahashi	JPN	1998-01-26
649	Jan Kumstat	CZE	2007-01-02
650	Igor Kudriashov	RUS	2003-09-27
651	Timofei Derepasko	RUS	2007-01-07
652	Dominik Kellovsky	CZE	1996-07-24
653	Bruno Fernandez	BRA	2004-07-26
654	Yanis Ghazouani Durand	FRA	2000-07-04
655	Federico Coria	ARG	1992-03-09
656	Kyle Kang	USA	2005-01-27
657	Aidan Kim	USA	2004-11-24
658	Tristan Lamasine	FRA	1993-03-05
659	Radu David Turcanu	ROU	2006-03-16
660	Emile Hudd	GBR	2000-05-27
661	Daniel De Jonge	NED	1999-08-17
662	Ryan Dickerson	USA	1997-05-08
663	Mitsuki Wei Kang Leong	MAS	2004-08-06
664	Nicholas David Ionel	ROU	2002-10-12
665	Duncan Chan	CAN	2005-07-29
666	James Watt	NZL	2000-06-09
667	Iliyan Radulov	BUL	2005-06-11
668	Naoki Nakagawa	JPN	1996-11-19
669	Dimitris Sakellaridis	GRE	2006-04-30
670	Gavin Young	USA	2002-09-17
671	Shintaro Imai	JPN	1993-09-07
672	Rigele Te	CHN	1997-10-09
673	Yuta Kikuchi	JPN	1999-09-27
674	Daniel Antonio Nunez	CHI	2001-06-02
675	Chase Ferguson	AUS	1999-01-02
676	Millen Hurrion	GBR	1999-06-22
677	Toufik Sahtali	ALG	1999-01-07
678	Nicolas Tepmahc	FRA	2001-05-23
679	Govind Nanda	USA	2001-02-17
680	Pierluigi Basile	ITA	2007-01-07
681	Ilya Ivashka	BLR	1994-02-24
682	Michael Agwi	IRL	2003-09-04
683	Marcel Zielinski	POL	2000-10-27
684	Loann Massard	FRA	2005-07-27
685	John Echeverria	ESP	2001-11-30
686	Maik Steiner	GER	1994-06-19
687	Ali Yazdani	IRI	2003-09-09
688	Michiel De Krom	NED	1998-06-27
689	Leonardo Rossi	ITA	2002-08-05
690	Peter Makk	HUN	2001-10-20
691	Peter Bertran	DOM	1996-03-05
692	Arthur Reymond	FRA	1999-04-02
693	Samuel Vincent Ruggeri	ITA	2002-05-22
694	Facundo Juarez	ITA	1997-09-23
695	Sora Fukuda	JPN	1997-10-03
696	Santiago De La Fuente	ARG	2002-02-06
697	Kaylan Bigun	USA	2006-05-23
698	Maximo Zeitune	ARG	2007-03-28
699	Leo Raquillet	FRA	2005-10-04
700	Ignacio Monzon	ARG	1998-01-05
