Rank	Player	Country	Birthdate
612	Nellie Taraba Wallberg	SWE	2007-03-30
613	Maria Golovina	RUS	2007-08-05
614	Fiona Ganz	SUI	2000-09-16
615	Lauren Davis	USA	1993-10-09
616	Lina Glushko	ISR	2000-01-12
617	Sarah Iliev	FRA	2006-10-03
618	Merna Refaat	EGY	2004-08-16
619	Ksenia Zaytseva	RUS	2004-09-13
620	Beatrise Zeltina	LAT	2007-03-18
621	Ya Yi Yang	TPE	2004-05-30
622	Elena Milovanovic	SRB	2001-01-31
623	Chenting Zhu	CHN	2007-09-13
624	Angelica Raggi	ITA	1998-11-14
625	Jamie Loeb	USA	1995-03-08
626	Urszula Radwanska	POL	1990-12-07
627	Yuliya Hatouka	BLR	2000-04-24
628	Clara Vlasselaer	BEL	2001-03-03
629	Amelia Honer	USA	2003-03-02
630	Berta Bonardi	ARG	1995-06-21
631	Jada Robinson	USA	1999-01-29
632	Melisa Ercan	TUR	2005-09-01
633	Noelia Bouzo Zanotti	ESP	1999-09-06
634	Erika Sema	JPN	1988-11-24
635	Nina Vargova	SVK	2005-09-09
636	Marine Szostak	FRA	2002-01-02
637	Rebecca Munk Mortensen	DEN	2005-11-01
638	Marcelina Podlinska	POL	1999-05-27
639	Kylie Collins	USA	2002-12-04
640	Lan Mi	CHN	2004-11-15
641	Alba Rey Garcia	ESP	2002-06-29
642	Aleksandra Krunic	SRB	1993-03-15
643	Ksenia Efremova	FRA	2009-04-28
644	Dasha Plekhanova	CAN	2004-02-19
645	Emma Lene	FRA	1999-07-15
646	Lea Nilsson	SWE	2008-06-24
647	Alize Lim	FRA	1990-07-13
648	Maria Kalyakina	RUS	2006-05-02
649	Adrienn Nagy	HUN	2001-03-24
650	Alexis Nguyen	USA	2007-12-02
651	Chengyiyi Yuan	CHN	2000-08-24
652	Elena Korokozidi	GRE	2003-06-27
653	Michika Ozeki	JPN	1992-03-17
654	Amelie Van Impe	BEL	2004-07-19
655	Ana Grubor	CAN	2004-01-02
656	Sayaka Ishii	JPN	2005-08-31
657	Ekaterina Yashina	RUS	1993-08-06
658	Mary Lewis	USA	1998-10-25
659	Amy Zhu	USA	1994-10-28
660	Astrid Cirotte	FRA	2003-12-16
661	Nauhany Vitoria Leme Da Silva	BRA	2010-03-13
662	Anna Petkovic	GER	2005-06-02
663	Jessica Hinojosa Gomez	MEX	1997-09-18
664	Loes Ebeling Koning	NED	2006-02-20
665	Rachel Gailis	USA	2004-08-30
666	Daria Egorova	RUS	2007-06-22
667	Iva Ivanova	BUL	2006-09-09
668	Hikaru Sato	JPN	1999-04-05
669	Ellie Schoppe	USA	2001-11-18
670	Gabriella Da Silva Fick	AUS	2000-08-23
671	Eliska Tichackova	CZE	2006-12-14
672	Hiroko Kuwata	JPN	1990-12-18
673	Usue Maitane Arconada	USA	1998-10-28
674	Salma Ewing	USA	2000-08-28
675	Valeria Bhunu	ZIM	1995-04-03
676	Raphaelle Lacasse	CAN	2000-08-16
677	Anita Sahdiieva	UKR	2004-01-21
678	Daria Saville	AUS	1994-03-05
679	Stefani Webb	AUS	2005-03-20
680	Beatrice Ricci	ITA	2003-07-07
681	Alyssa Reguer	FRA	2006-05-04
682	Honoka Kobayashi	JPN	2000-04-23
683	Jiangxue Han	CHN	2001-11-28
684	Ruien Zhang	CHN	2008-04-27
685	Eudice Wong Chong	HKG	1996-04-22
686	Elina Nepliy	RUS	1997-10-23
687	Anamaria Federica Oana	ROU	2007-07-18
688	Luciana Moyano	ARG	2005-09-27
689	Jennifer Brady	USA	1995-04-12
690	Sofia Rocchetti	ITA	2002-08-23
691	Olivia Lincer	USA	2004-12-17
692	Lavinia Tanasie	ROU	2003-12-12
693	Punnin Kovapitukted	THA	2003-02-05
694	Junhan Zhang	CHN	2007-04-16
695	Ann Akasha Ceuca	GER	2006-11-08
696	Jiayi Wang	CHN	2007-09-08
697	Briana Szabo	ROU	2005-11-26
698	Sarah Melany Fajmonova	CZE	2007-03-09
699	Rose Marie Nijkamp	NED	2006-02-03
700	Adithya Karunaratne	SRI	2001-12-04
701	Dune Vaissaud	FRA	2007-02-15
702	Sachia Vickery	USA	1995-05-11
703	Ava Markham	USA	1999-12-29
704	Polina Kuharenko	BLR	2008-06-09
705	Su Jeong Jang	KOR	1995-03-13
706	Carmen Lopez Martinez	ESP	2005-04-23
707	Anna Kubareva	BLR	2001-02-06
708	Cheuk Ying Shek	HKG	2005-04-05
709	Laia Petretic	FRA	2004-04-07
710	Kateryna Lazarenko	UKR	2004-11-07
711	Daria Zelinskaya	RUS	2004-08-26
712	Caroline Garcia	FRA	1993-10-16
713	Demi Tran	NED	2000-11-26
714	Alice Robbe	FRA	2000-05-10
715	Maria Garcia Cid	ESP	2005-04-05
716	Ivana Sebestova	CZE	2001-03-04
717	Victoria Milovanova	RUS	2007-03-01
718	Neus Torner Sensano	ESP	2007-10-08
719	Kristina Novak	SLO	2000-08-03
720	Mia Horvit	USA	1997-07-23
721	Edda Mamedova	RUS	2006-10-12
722	Gaia Maduzzi	ITA	2006-04-30
723	Franziska Sziedat	GER	2000-08-06
724	Ana Bogdan	ROU	1992-11-25
725	Evialina Laskevich	BLR	2004-11-10
726	Sophia Biolay	FRA	2001-07-03
727	Kisa Yoshioka	JPN	2000-09-02
728	Stefania Bojica	ROU	2005-03-10
729	Naho Sato	JPN	2001-01-23
730	Yujia Huang	CHN	2002-11-18
731	Irina Balus	SVK	2005-09-12
732	Ida Wobker	GER	2010-09-08
733	Nadiia Kolb	UKR	1993-01-19
734	Peangtarn Plipuech	THA	1992-11-15
735	Luisa Meyer Auf Der Heide	GER	2002-01-31
736	Oceane Babel	FRA	2004-02-26
737	Daria Yesypchuk	UKR	2005-10-04
738	Yuliana Lizarazo	COL	1993-05-23
739	Hong Yi Cody Wong	HKG	2002-03-14
740	Maria Jose Portillo Ramirez	MEX	1999-05-08
741	Anastasia Bertacchi	ITA	2006-12-18
742	Camila Romero	ECU	1998-10-05
743	Bella Payne	USA	2007-09-15
744	Maria Sholokhova	RUS	2004-01-12
745	Victoria Osuigwe	USA	2006-12-12
746	Petra Konjikusic	SRB	2007-06-07
747	Federica Sacco	ITA	2002-04-20
748	Amina Anshba	RUS	1999-09-09
749	Christasha Mcneil	USA	2006-10-03
750	Arina Gabriela Vasilescu	ROU	1997-03-06
751	Kamilla Bartone	LAT	2002-06-07
752	Julia Konishi Camargo Silva	BRA	2000-01-26
753	Valentina Mediorreal Arias	COL	2007-03-02
754	Xinran Sun	CHN	
755	Laura Svatikova	SVK	1994-04-29
756	Zoziya Kardava	RUS	2001-07-15
757	Jesika Maleckova	CZE	1994-08-16
758	Meng Yi Chen	CHN	2003-01-19
759	Vlada Mincheva	RUS	2007-02-03
760	Alyssa Ahn	USA	2006-12-27
761	Brooke Black	GBR	2007-11-20
762	Marie Mettraux	SUI	2000-04-07
763	Chelsea Fontenel	SUI	2004-06-25
764	Anastasiia Firman	UKR	2006-12-29
765	Noemi Maines	ITA	2006-07-17
766	Sara Errani	ITA	1987-04-29
767	Ani Amiraghyan	ARM	1993-10-09
768	Anne Christine Lutkemeyer Obregon	USA	2004-05-24
769	Aruzhan Sagandykova	KAZ	2004-12-21
770	Yasmin Ezzat	EGY	2003-08-27
771	Madelief Hageman	NED	2003-01-28
772	Thea Frodin	USA	
773	Yuhan Wang	CHN	2007-06-21
774	Yiming Dang	CHN	2004-08-30
775	Nagi Hanatani	JPN	1995-03-07
776	Merel Hoedt	NED	1999-08-20
777	Yanina Wickmayer	BEL	1989-10-20
778	Giulia Safina Popa	ROU	2009-11-09
779	Maria Fernanda Herazo Gonzalez	COL	1997-03-22
780	Chloe Noel	FRA	2004-03-22
781	Tilwith Di Girolami	BEL	2003-09-29
782	Malene Helgo	NOR	1999-08-26
783	Gaeul Jang	KOR	2006-09-30
784	Monika Stankiewicz	POL	2006-10-24
785	Jimar Geraldine Gerald Gonzalez	CHI	2002-01-17
786	Monique Barry	NZL	2002-06-21
787	Stephanie Wagner	GER	1994-09-17
788	Indianna Spink	GBR	2002-10-7
789	Ya Hsuan Lee	TPE	1995-07-20
790	Lucie Nguyen Tan	FRA	2003-05-30
791	Jacqueline Cabaj Awad	SWE	1996-01-28
792	Kailey Evans	USA	
793	Victoria Gomez	ESP	2003-11-13
794	Adriana Reami	USA	1997-11-13
795	Belle Thompson	AUS	1999-11-19
796	Makenna Jones	USA	1998-02-26
797	Laima Vladson	LTU	2007-09-18
798	Ella Haavisto	FIN	2002-03-28
799	Chihiro Muramatsu	JPN	1998-05-22
800	Mana Kawamura	JPN	2001-08-06
801	Maria Toma	ROU	1999-01-25
802	Linda Sevcikova	CZE	1998-06-09
803	Nika Radisic	SLO	2000-03-19
804	Sae Noguchi	JPN	2007-03-26
805	Jamilah Snells	USA	2002-08-29
806	Carolina Bohrer Martins	BRA	2007-09-15
807	Daphnee Mpetshi Perricard	FRA	2008-11-21
808	Emeline Dartron	FRA	2000-04-12
809	Petra Hule	AUS	1999-03-05
810	Patricija Paukstyte	LTU	2004-09-13
811	Iveta Dapkute	LTU	1993-01-29
812	Maia Ilinca Burcescu	ROU	2009-11-26
813	Dunja Maric	SRB	2006-06-13
814	Yujin Kim	KOR	2005-06-10
815	Astrid Wanja Brune Olsen	NOR	1999-06-23
816	Lilian Poling	USA	1997-12-30
817	Maya Iyengar	USA	2007-06-10
818	Ana Konjuh	CRO	1997-12-27
819	Michaela Bayerlova	CZE	1998-12-14
820	Ava Hrastar	USA	2002-02-27
821	Masha Lazarenko	UKR	2008-12-12
822	Marianne Argyrokastriti	GRE	2001-10-01
823	Diana Marcinkevica	LAT	1992-08-03
824	Eugenie Bouchard	CAN	1994-02-25
825	Anastasiia Gureva	RUS	2005-03-24
826	Laquisa Khan	AUS	2002-11-11
827	Luna Vujovic	SRB	2009-07-24
828	Amy Sucha	CZE	2007-11-29
829	Shannon Lam	USA	2008-06-07
830	Coco Bosman	NED	2003-03-12
831	Lucie Petruzelova	CZE	2002-08-30
832	Kristina Penickova	USA	2009-09-11
833	Anna Frey	USA	
834	Linea Bajraliu	SWE	2007-01-11
835	Victoria Kan	RUS	1995-08-03
836	Raquel Gonzalez Vilar	ESP	2004-04-05
837	Anastasija Cvetkovic	SRB	2008-06-25
838	Arabella Koller	AUT	2000-08-31
839	Savannah Broadus	USA	2002-09-18
840	Suana Tucakovic	BIH	2004-10-25
841	Kate Mansfield	USA	2004-10-24
842	Paula Cembranos	SUI	2004-01-10
843	Carolin Raschdorf	GER	2006-09-03
844	Anja Wildgruber	GER	2002-03-04
845	Viola Turini	ITA	2005-12-13
846	Mao Mushika	JPN	2005-07-21
847	Chukwumelije Clarke	USA	
848	Anna Snigireva	RUS	2007-12-22
849	Johanna Silva	GER	1997-11-15
850	Karine Sarkisova	RUS	1998-06-07
851	Klara Veldman	NED	2003-12-15
852	Isabella Barrera Aguirre	USA	2003-03-07
853	Jessica Failla	USA	1997-07-05
854	D J Bennett	USA	2003-08-28
855	Shiyu Ye	CHN	2007-04-20
856	Ayumi Miyamoto	JPN	2000-12-18
857	Solymar Colling	USA	2000-04-21
858	Claudia Ferrer Perez	ESP	2006-07-14
859	Federica Di Sarra	ITA	1990-05-16
860	Sonja Zhenikhova	GER	2008-05-21
861	Jizelle Sibai	AUS	2009-10-01
862	Mara Gae	ROU	2005-09-14
863	Sofia Rojas	ECU	1995-08-01
864	Ophelie Boullay	FRA	2008-03-25
865	Sophia Fry	AUS	2000-07-31
866	Polina Leykina	RUS	1994-09-20
867	Onyu Choi	KOR	2006-12-29
868	Louna Zoppas	FRA	2007-03-12
869	Agustina Chlpac	ARG	1997-02-10
870	Julia Stamatova	BUL	1993-06-04
871	Marie Villet	FRA	1996-11-17
872	Irem Kurt	TUR	2007-06-07
873	Angelica Blake	USA	2000-10-23
874	Nada Fouad	EGY	2003-08-21
875	Diana Ioana Simionescu	ROU	2007-08-03
876	Lorena Solar Donoso	ESP	2007-06-07
877	Ava Rodriguez	USA	2008-05-22
878	Kristina Mladenovic	FRA	1993-05-14
879	Celia Cervino Ruiz	ESP	1997-12-14
880	Maria Camila Torres Murcia	COL	2002-11-10
881	Julia Garcia Ruiz	MEX	2003-08-05
882	Aspen Schuman	USA	2007-07-06
883	Francoise Abanda	CAN	1997-02-05
884	Margaux Maquet	BEL	2001-10-10
885	Ziva Falkner	SLO	2002-07-07
886	Shiho Tsujioka	JPN	2007-01-14
887	Angelina Wirges	GER	2002-06-17
888	Wozuko Mdlulwa	RSA	2007-08-16
889	Defne Cirpanli	TUR	2004-10-08
890	Anna Pircher	AUT	2010-05-04
891	Elza Tomase	LAT	2002-01-02
892	Lauryn John Baptiste	GBR	1999-07-26
893	Romina Ccuno	PER	2002-09-01
894	Maddalena Giordano	ITA	2003-05-21
895	Valeria Savinykh	RUS	1991-02-20
896	Joy De Zeeuw	NED	2006-05-15
897	Akanksha Dileep Nitture	IND	2003-03-08
898	Sofia Johnson	GBR	
899	Ekaterina Tupitsyna	RUS	
900	Abigail Rencheli	MDA	2002-04-05
901	Carmen Gallardo Guevara	ESP	
902	Salma Drugdova	SVK	2004-12-09
903	Darja Suvirdjonkova	SRB	2005-06-16
904	Camilla Gennaro	ITA	2003-09-30
905	Jing Jing Lu	CHN	1989-05-05
906	Natalia Sousa Salazar	MEX	2006-05-16
907	Shruti Ahlawat	IND	2006-06-16
908	Tianmei Wang	USA	2007-03-19
909	Vicky Van De Peer	BEL	2001-01-11
910	Yingqun Sun	CHN	2006-02-09
911	Evgeniya Burdina	RUS	2001-01-17
912	Valentina Ivanov	NZL	2001-03-27
913	Ela Nala Milic	SLO	2006-01-01
914	Lavinia Luciano	ITA	2006-12-24
915	Candela Vazquez	ARG	2008-08-15
916	Ines Murta	POR	1997-05-31
917	Ilay Yoruk	TUR	2001-11-05
918	Kallista Liu	USA	2004-06-01
919	Julieta Lara Estable	ARG	1997-07-15
920	Petra Sedlackova	CZE	2001-08-07
921	Lucie Urbanova	CZE	2006-02-14
922	Allura Zamarripa	USA	2002-08-15
923	Beatrice Stagno	ITA	2003-03-13
924	Sabine Rutlauka	LAT	2002-10-11
925	Giulia Paterno	ITA	
926	Mila Masic	SRB	1997-11-29
927	Ana Filipa Santos	POR	1996-02-12
928	Diana Demidova	RUS	1997-09-26
929	Karla Popovic	CRO	1995-09-05
930	Teah Chavez	CAN	2005-12-17
931	Dabin Kim	KOR	1997-01-02
932	Gaia Squarcialupi	ITA	1997-10-23
933	Romane Longueville	BEL	2005-04-18
934	Polina Bakhmutkina	RUS	1999-04-25
935	Alexandra Osborne	AUS	1995-04-08
936	Elyse Tse	NZL	2004-04-10
937	Yu Jin Ahn	KOR	1997-03-13
938	Cherry Kim	KOR	2000-02-29
939	Arlinda Rushiti	SUI	1999-03-27
940	Olga Danilova	CYP	
941	Tiana Tian Deng	SWE	2008-07-05
942	Jordyn Mcbride	USA	2002-02-09
943	Victoria Pohle	GER	2007-06-29
944	Mihaela Buzarnescu	ROU	1988-05-04
945	Carson Tanguilig	USA	2003-07-31
946	Alja Senica	SLO	
947	Fanny Norin	SWE	2001-11-11
948	Adriana Tkachenko	UKR	2007-06-26
949	Marta Lombardini	ITA	2003-02-27
950	Stefaniya Pushkar	UKR	
951	Xi Luo	CHN	2007-12-16
952	Georgina Garcia Perez	ESP	1992-05-13
953	Valeriia Artemeva	RUS	2007-06-09
954	Nanari Katsumi	JPN	2003-02-17
955	Alesia Breaz	ROU	
956	Valentina Losciale	ITA	1997-01-04
957	Simona Ogescu	ROU	2002-10-05
958	Daria Kudashova	RUS	2003-03-28
959	Sara Svetac	CRO	2004-10-28
960	Charo Esquiva Banuls	ESP	2008-03-12
961	Sabastiani Leon	MEX	1992-03-23
962	Eszter Meri	SVK	2002-12-11
963	Krisha Mahendran	IND	2007-01-20
964	Francesca Mattioli	ITA	2006-07-04
965	Misa Malkin	USA	
966	Shihomi Li Xuan Leong	MAS	2007-06-06
967	Ingrid Carolina Millan	MEX	2001-11-03
968	Jo Yee Chan	USA	2004-02-02
969	Inka Wawrzkiewicz	POL	2008-04-25
970	Ustiniya Lekomtseva	RUS	2006-09-13
971	Marta Soriano Santiago	ESP	2006-04-20
972	Eri Hozumi	JPN	1994-02-17
973	Yushan Shao	CHN	2008-12-26
974	Ruby Cooling	GBR	2007-11-03
975	Sylvie Zund	LIE	2001-02-26
976	Allegra Korpanec Davies	GBR	
977	Midori Castillo Meza	USA	2003-11-16
978	Aysegul Mert	TUR	2004-04-17
979	Antonia Stoyanov	NED	2009-09-15
980	Didi Bredberg Canizares	USA	2004-07-29
981	Felitsata Dorofeeva Rybas	RUS	
982	Amelia Paszun	POL	2007-09-02
983	Nadia Lagaev	CAN	2008-01-18
984	Rikke De Koning	NED	2003-05-04
985	Arina Varaksina	RUS	2007-03-18
986	Maelle Leclercq	FRA	2004-01-19
987	Clarissa Blomqvist	FIN	2004-11-26
988	Alexandra Vasilyeva	RUS	2001-12-18
989	Anne Schaefer	GER	1987-03-01
990	Jaimee Fourlis	AUS	1999-09-17
991	Veronica Miroshnichenko	RUS	1997-11-19
992	Anna Pushkareva	RUS	2009-04-22
993	Tina Manescu	GER	2010-01-22
994	Annika Penickova	USA	2009-09-11
995	Elizabeth Ionescu	USA	2008-04-28
996	Lisa Marie Rioux	JPN	1997-05-01
997	Sara Victoria Balan	ROU	
998	Alicia Smith	AUS	1996-09-27
999	Elena Teodora Cadar	ROU	1994-02-24
1000	Marie Mattel	FRA	2000-01-07
1001	Sofia Da Cruz Mendonca	BRA	2002-03-09
1002	Elizabeth Coleman	USA	2003-03-21
1003	Gloriana Goreti Nahum	BEN	2006-10-02
1004	Gabriella Broadfoot	RSA	2004-11-01
1005	Yuhan Liu	CHN	2003-08-31
1006	Lucie Pawlak	FRA	2006-04-12
1007	Fang An Lin	TPE	2005-05-16
1008	Yanan Hou	CHN	2005-05-27
1009	Barbora Michalkova	CZE	2006-04-03
1010	Kamonwan Yodpetch	THA	2007-09-10
1011	Arina Arifullina	RUS	2006-01-22
1012	Patricia Georgiana Goina	ROU	2005-03-25
1013	Helena Stevic	FRA	2002-03-05
1014	Freya Christie	GBR	1997-11-08
1015	Tegan Bush	GBR	2008-11-02
1016	Diae El Jardi	MAR	2000-10-13
1017	Suha Lee	KOR	2008-12-08
1018	Catherine Aulia	AUS	2004-05-07
1019	Sonja Zhiyenbayeva	GER	2006-07-02
1020	Barbara Kostecka	POL	2009-06-04
1021	Lily Taylor	AUS	2006-09-02
1022	Polina Skliar	UKR	2010-10-24
1023	Seda Baslilar	FRA	2008-05-11
1024	Anjali Rathi	IND	2006-02-28
1025	Maayan Laron	ISR	2007-07-18
1026	I Wen Wan	TPE	2006-11-04
1027	Claudia Sofia Martinez Solis	MEX	2004-03-02
1028	Sara Mikaca	BIH	2003-03-24
1029	Nicole Gadient	SUI	1998-08-07
1030	Cindy Langlais	FRA	
1031	Marie Benoit	BEL	1995-03-16
1032	Kim Chiarello	FRA	2004-06-28
1033	Lea Tholey	FRA	1995-09-03
1034	Yu Jun Lin	CHN	
1035	Janae Preston	USA	2010-08-13
1036	Anastasiya Kuparev	GER	2001-06-04
1037	Tamira Paszek	AUT	1990-12-06
1038	Anna Sedysheva	RUS	
1039	Zuzanna Kolonus	POL	2005-06-29
1040	Nina Radovanovic	FRA	2003-10-22
1041	Lucia Peyre	ARG	2005-07-26
1042	Anna Kartseva	RUS	
1043	Ulyana Hrabavets	BLR	
1044	Miyu Nakashima	JPN	2001-01-05
1045	Sina Herrmann	GER	2001-10-24
1046	Krystyna Pochtovyk	UKR	1998-09-15
1047	Jenna Dean	USA	2000-06-18
1048	Brandy Walker	USA	1997-05-21
1049	Amelie Justine Hejtmanek	GER	
1050	Maria Paulina Perez Garcia	COL	1996-01-10
1051	Maaya Rajeshwaran Revathi	IND	2009-06-12
1052	Selina Atay	TUR	2001-11-20
1053	Mariana Isabel Higuita Barraza	COL	2007-06-14
1054	Giselle Isabella Guillen	AUS	2008-05-21
1055	Charlotte Keitel	GER	2005-04-25
1056	Ha Eum Lee	KOR	2008-06-24
1057	Kennedy Drenser Hagmann	USA	2009-04-03
1058	Andrea Obradovic	SRB	2004-05-18
1059	Lorena Schaedel	GER	
1060	Cara Korhonen	AUS	
1061	Lisa Claeys	BEL	2003-03-09
1062	Carlotta Moccia	ITA	2003-03-17
1063	Luana Plaza Araujo	BRA	2005-08-14
1064	Eva Marie Desvignes	FRA	
1065	Natsuho Arakawa	JPN	1997-09-03
1066	Ilinca Sagmar	ROU	
1067	Meritxell Teixido Garcia	ESP	2007-06-30
1068	Sofia Martianova	RUS	
1069	Ru Xi Wu	CHN	2008-08-01
1070	Katarzyna Piter	POL	1991-02-16
1071	Maribella Zamarripa	USA	2002-08-15
1072	Ada Kumru	TUR	
1073	Nadia Kulbiej	POL	2007-04-26
1074	Daniela Piani	GBR	2007-04-21
1075	Qiu Yu Ye	CHN	1997-11-29
1076	Laetitia Sarrazin	FRA	1993-03-08
1077	Kiara Zabkova	SVK	2007-05-16
1078	Selina Dal	GER	2001-11-28
1079	Dimitra Pavlou	GRE	2004-04-21
1080	Lani Chang	USA	
1081	Daria Kuczer	POL	1999-02-26
1082	Mandegar Farzami	IRI	
1083	Riko Kikawada	JPN	
1084	Alisa Vasileva	RUS	2005-10-21
1085	Jeong Moon	KOR	
1086	Judith Perello Saavedra	ESP	2002-01-23
1087	Kolie Allen	USA	2000-03-17
1088	Sofiia Suslova	RUS	2004-08-09
1089	Josefina Estevez	ARG	2007-12-19
1090	Karolina Vlckova	CZE	2000-10-17
1091	Katerina Mandelikova	CZE	2003-06-13
1092	Vlada Ekshibarova	UZB	1989-03-14
1093	Asylzhan Arystanbekova	KAZ	2006-03-01
1094	Ksenia Laskutova	RUS	1996-08-29
1095	Malkia Menguene	USA	2000-08-08
1096	Andjela Lazarevic	SRB	2005-06-20
1097	Giuliana Bestetti	ITA	1997-10-01
1098	Francesca Gandolfi	ITA	
1099	Isabella Marton	CAN	2008-04-10
1100	Valerie Glozman	USA	2006-11-22
1101	Tayisiya Morderger	GER	1997-03-07
1102	Victoria Luiza Barros	BRA	
1103	Luna Maria Cinalli	ARG	
1104	Denisa Hindova	CZE	2002-07-17
1105	Eleonora Alvisi	ITA	2003-03-13
1106	Cristina Dinu	ROU	1993-01-18
1107	Welles Newman	USA	
1108	Jahnie Van Zyl	RSA	2009-02-17
1109	Olga Helmi	DEN	2000-03-27
1110	Emma Kamper	DEN	2004-06-25
1111	Stefania Rogozinska Dzik	POL	2001-07-07
1112	Milana Maslenkova	UZB	2001-08-13
1113	Warona Mdlulwa	RSA	2000-02-17
1114	Mia Wainwright	GBR	
1115	Annabelle Xu	CAN	
1116	Anna Lena Ebster	AUT	2004-01-06
1117	Elena Jamshidi	DEN	2001-03-16
1118	Claudia Gasparovic	AUT	2004-10-28
1119	Emma Slavikova	CZE	2003-01-24
1120	Tianmi Mi	CHN	2004-06-26
1121	Natalia Krockova	SVK	
1122	Bethanie Mattek Sands	USA	1985-03-23
1123	Rebeca Pereira	BRA	1993-03-23
1124	Marina Bulbarella	ARG	2005-09-21
1125	Dejana Radanovic	SRB	1996-05-14
1126	Denisa Zoldakova	CZE	
1127	Irina Fetecau	ROU	1996-04-17
1128	Kate Fakih	USA	2006-10-30
1129	Luciana Perry	USA	
1130	Alice Ferlito	ESP	
1131	Eliz Maloney	GBR	2000-08-10
1132	Federica Bilardo	ITA	1999-07-06
1133	Yleymi Lugiana Muelle Valdez	PER	2008-05-23
1134	Ava Monet Sycamore	AUS	
1135	Maria Kononova	RUS	1997-03-04
1136	Margaret Sohns	USA	
1137	Alexandra Irina Anghel	ROU	2007-03-12
1138	Juliana Giaccio	ESP	
1139	Kianah Motosono	USA	
1140	Tori Kinard	USA	1987-11-24
1141	Cristiana Nicoleta Todoni	ROU	2006-12-06
1142	Sydney Jara	USA	
1143	Liv Boulard	FRA	2008-01-02
1144	Ayline Esina Samardzic	CRO	2002-11-10
1145	Anna Tabunshchyk	CAN	
1146	Viktoria Veleva	BUL	2004-04-07
1147	Jizel Matos Sequeira Fernandes	GBR	2001-02-07
1148	Sara Lanca	POR	1997-03-02
1149	Marian Gomez Pezuela Cano	MEX	2001-09-24
1150	Aishi Das	NZL	
1151	Ava Beck	AUS	
1152	Sonal Patil	IND	2005-02-18
1153	Anastasia Sysoeva	RUS	2003-04-05
1154	Vivian Yang	NZL	2005-01-11
1155	Zaire Clarke	USA	
1156	Ashleigh Simes	AUS	2003-02-05
1157	Berta Passola	ESP	
1158	India Houghton	USA	2002-02-16
1159	Kira Bataikina	RUS	2007-12-14
1160	Xinle Geng	CHN	2010-11-24
1161	Anna Ureke	RUS	1999-11-02
1162	Aravane Rezai	FRA	1987-03-14
1163	Mia Slama	USA	
1164	Raveena Kingsley	USA	1998-07-23
1165	Emma Wilson	GBR	1997-02-18
1166	Karine Marion Job	FRA	2001-05-06
1167	Karla Bartel	GER	
1168	Manca Pislak	SLO	1997-09-09
1169	Anri Nagata	JPN	2000-05-03
1170	Emma Van Poppel	NED	
1171	Barbara Straszewska	POL	
1172	Polina Kaibekova	RUS	2006-11-03
1173	Feier Hu	CHN	
1174	Leticia Garcia Vidal	BRA	1997-03-13
1175	Kanon Sawashiro	JPN	
1176	Aoi Ide	JPN	
1177	Alina Trynkina	RUS	
1178	Nao Nishino	JPN	
1179	Anastasia Efremova	RUS	
1180	Vlada Zvereva	BLR	2001-09-15
1181	Mouna Bouzgarrou	TUN	1999-10-13
1182	Kseniia Ruchkina	RUS	2010-01-19
1183	Klara Kosan	USA	2001-10-08
1184	Georgina Groth	GER	
1185	Tara Moore	GBR	1992-08-06
1186	Bunyawi Thamchaiwat	THA	1998-07-29
1187	Jennifer Rosa Dourado	BRA	2000-12-11
1188	Paola Lopez	USA	
1189	Marcella Dessolis	ITA	
1190	Milla Sequeira	SUI	2003-08-24
1191	Isabella Svahn	SWE	2006-06-22
1192	Katarina Kujovic	BEL	
1193	Alisa Danilova	RUS	1993-04-07
1194	Lourdes Ayala	ARG	2006-06-18
1195	Sarafina Hansen	DEN	2005-06-07
1196	Tanisha Kashyap	IND	2002-04-25
1197	Maria Oliver Sanchez	ESP	2000-05-14
1198	Barbara Dessolis	ITA	2001-09-21
1199	Renee Alame	AUS	
1200	Min Liu	CHN	1993-02-05
1201	Kali Supova	SVK	
1202	Piper Charney	USA	2005-07-06
1203	Celia Anson Sanchez	ESP	
1204	Cristina Ramos Sierra	ESP	
1205	Emily Sartz Lunde	NOR	2006-01-12
1206	Karolina Mrazikova	SVK	2004-10-26
1207	Lucrezia Musetti	ITA	
1208	Fabienne Gettwart	GER	1996-01-03
1209	Giulia Alessia Monteleone	ITA	
1210	Sera Nishimoto	JPN	2001-01-02
1211	Ciara Moore	GBR	
1212	Sofia Cohen Perovani	BRA	2006-07-16
1213	Jiho Shin	KOR	2002-03-08
1214	Kaede Usui	USA	
1215	Lexue Xiao	CHN	2006-11-18
1216	Lara Smejkal	SLO	2004-08-07
1217	Julita Saner	SWE	1999-04-29
1218	Lucia Natal Gomez	ESP	1999-05-31
1219	Dia Evtimova	BUL	1987-04-30
1220	Francesca Delledera	ITA	1996-06-28
1221	Hania Abouelsaad	EGY	2003-01-29
1222	Jasmine Conway	GBR	2004-12-21
1223	Lois Newberry	GBR	2007-01-09
1224	Rachael Smith	USA	
1225	Ana Victoria Gobbi Monllau	ARG	1996-12-26
1226	Emily De Oliveira	USA	2003-03-01
1227	Elena Giessler	GER	2002-12-21
1228	Caterina Odorizzi	ITA	
1229	Laura Boehner	GER	2001-07-30
1230	Summer Yardley	GBR	2000-01-28
1231	Maria Jose Sanchez Uribe	COL	
1232	Yana Morderger	GER	1997-03-07
1233	Naoko Eto	JPN	1984-12-17
1234	Tori Russell	AUS	2010-05-07
